video_link,hashtag
https://www.tiktok.com/@raine_wuz_here/video/7608306987301915922,#boyfriend
https://www.tiktok.com/@raine_wuz_here/video/7608306987301915922,#ilovemybf
https://www.tiktok.com/@lady_gaga_mother/video/7604426562993278215,#loser
https://www.tiktok.com/@lady_gaga_mother/video/7604426562993278215,#skins
https://www.tiktok.com/@lady_gaga_mother/video/7604426562993278215,#rodrickheffley
https://www.tiktok.com/@lady_gaga_mother/video/7604426562993278215,#sidskins
https://www.tiktok.com/@lady_gaga_mother/video/7604426562993278215,#00
https://www.tiktok.com/@lady_gaga_mother/video/7604426562993278215,#2000s
https://www.tiktok.com/@lady_gaga_mother/video/7604426562993278215,#fyp
https://www.tiktok.com/@lady_gaga_mother/video/7604426562993278215,#losercore
https://www.tiktok.com/@en4ria/video/7573245926928583956,#2000snostalgia
https://www.tiktok.com/@en4ria/video/7573245926928583956,#ps2
https://www.tiktok.com/@en4ria/video/7573245926928583956,#dreamcore
https://www.tiktok.com/@sanni_love/video/7503497852673346838,#wallpaper
https://www.tiktok.com/@sanni_love/video/7503497852673346838,#wallpapervideo
https://www.tiktok.com/@_puppet56/video/7603856612519890207,#mecore
https://www.tiktok.com/@_puppet56/video/7603856612519890207,#core
https://www.tiktok.com/@_puppet56/video/7603856612519890207,#fyp
https://www.tiktok.com/@_puppet56/video/7603856612519890207,#edit
https://www.tiktok.com/@_puppet56/video/7603856612519890207,#foryoupage
https://www.tiktok.com/@tangymoots/video/7611570637097684232,#vlog
https://www.tiktok.com/@tangymoots/video/7611570637097684232,#sliceoflife
https://www.tiktok.com/@tangymoots/video/7611570637097684232,#juminocore
https://www.tiktok.com/@tangymoots/video/7611570637097684232,#nostalgia
https://www.tiktok.com/@tangymoots/video/7611570637097684232,#whimsy
https://www.tiktok.com/@mar13z/video/7531895498320416014,#fyp
https://www.tiktok.com/@mar13z/video/7531895498320416014,#foryou
https://www.tiktok.com/@mar13z/video/7531895498320416014,#gachalife
https://www.tiktok.com/@mar13z/video/7531895498320416014,#juminocore
https://www.tiktok.com/@mar13z/video/7531895498320416014,#heiseiretro
https://www.tiktok.com/@.juminopaws/video/7467350955034414341,#MYNEIGHBORTOTORO
https://www.tiktok.com/@.juminopaws/video/7467350955034414341,#totoro
https://www.tiktok.com/@.juminopaws/video/7467350955034414341,#myneighbortotoro
https://www.tiktok.com/@.juminopaws/video/7467350955034414341,#studioghibli
https://www.tiktok.com/@.juminopaws/video/7467350955034414341,#juminocore
https://www.tiktok.com/@.juminopaws/video/7467350955034414341,#ghlibi
https://www.tiktok.com/@.juminopaws/video/7467350955034414341,#anime
https://www.tiktok.com/@.juminopaws/video/7467350955034414341,#kawaii
https://www.tiktok.com/@.juminopaws/video/7467350955034414341,#satsukiandmei
https://www.tiktok.com/@xybcefw/video/7460613894730632453,#fypp
https://www.tiktok.com/@xybcefw/video/7460613894730632453,#foryoupage
https://www.tiktok.com/@xybcefw/video/7460613894730632453,#fyp
https://www.tiktok.com/@xybcefw/video/7460613894730632453,#xybcefw
https://www.tiktok.com/@xybcefw/video/7460613894730632453,#juminocore
https://www.tiktok.com/@xybcefw/video/7460613894730632453,#onlyforyou
https://www.tiktok.com/@xybcefw/video/7460613894730632453,#jumino
https://www.tiktok.com/@bohomoonchild/video/7532722899661114679,#childhood
https://www.tiktok.com/@bohomoonchild/video/7532722899661114679,#2000s
https://www.tiktok.com/@bohomoonchild/video/7532722899661114679,#2000snostalgia
https://www.tiktok.com/@bohomoonchild/video/7532722899661114679,#nostalgia
https://www.tiktok.com/@bohomoonchild/video/7532722899661114679,#nostalgiacore
https://www.tiktok.com/@bohomoonchild/video/7532722899661114679,#childhoodmemories
https://www.tiktok.com/@bohomoonchild/video/7532722899661114679,#2000saesthetic
https://www.tiktok.com/@anaisscore/video/7525634135101050167,#juminocore
