video_link,criador,descricao,likes,comentarios,compartilhamentos,salvamentos,visualizacoes,data_publicacao,data_texto_raw,musica,duracao,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,videos_recomendados,hashtags,grupo_origem,timestamp_coleta
https://www.tiktok.com/@ban1dan/video/7584373552162360587,,"loser
#recommendations #anime #edit #silentvoice #shoyaishida ",66600.0,578.0,4090.0,,,· 2025-12-16,· 2025-12-16,,,False,True,True,True,False,False,,"['#recommendations', '#anime', '#edit', '#silentvoice', '#shoyaishida']",LOSER,2026-03-20 07:19:26
https://www.tiktok.com/@arianne9293/video/7572064123278609671,,🐻#unboxing #viralvideo #goviral #fyppppppppppppppppppppppp,567.0,10.0,25.0,,,· 2025-11-13,· 2025-11-13,,,False,True,True,True,False,False,,"['#unboxing', '#viralvideo', '#goviral', '#fyppppppppppppppppppppppp']",JUMINO,2026-03-20 07:19:35
https://www.tiktok.com/@cannibalistic.unicorn/video/7457902909003451656,,strawberriess 🍓 #strawberry #fav #juminocore #core #edit #trinkets #fyp #cute ,276.0,9.0,30.0,,,· 2025-1-9,· 2025-1-9,original sound - crumbs - 🦄,,False,True,True,True,False,False,,"['#strawberry', '#fav', '#juminocore', '#core', '#edit', '#trinkets', '#fyp', '#cute']",TRINKET,2026-03-20 07:19:44
https://www.tiktok.com/@jessambrrr444/video/7503790823197216030,,this is how i display my trinkets 🧚🏽‍♀️✨ i got the wall grid from @Daiso USA Official,9416.0,84.0,1380.0,,,· 2025-5-13,· 2025-5-13,,,False,True,True,True,False,False,,[],TRINKET,2026-03-20 07:19:54
https://www.tiktok.com/@g0thi3femboyluvr/video/7613835290091851039,,CORECORE EDIT \\\ HELP FROM MY BEAUTIFUL AMAZING BF @nemozaki #corecore #losercore #alone #fypシ #edit ,14400.0,236.0,915.0,,,· 3-5,· 3-5,,,False,True,True,True,False,False,,"['#corecore', '#losercore', '#alone', '#fypシ', '#edit']",LOSER,2026-03-20 07:20:05
https://www.tiktok.com/@thebeaded.lady/video/7594124678038359326,,obsessed #twee #coquette #cottagecore #trinkets #diy,81.0,2.0,,,,· 1-11,· 1-11,,,False,True,True,True,False,False,,"['#twee', '#coquette', '#cottagecore', '#trinkets', '#diy']",TRINKET,2026-03-20 07:20:17
https://www.tiktok.com/@tangymoots/video/7614009550512966930,,"pov: you found a creator with this aesthetic 🤗

#juminocore ",15500.0,1527.0,536.0,,,· 3-6,· 3-6,,,False,True,True,True,True,False,,['#juminocore'],JUMINO,2026-03-20 07:20:27
https://www.tiktok.com/@neswipe/video/7575991538711350540,,#sleep #бойцовскийклуб #core #edit #fightclub ,15800.0,179.0,1366.0,,,· 2025-11-23,· 2025-11-23,,,False,True,True,True,True,False,,"['#sleep', '#бойцовскийклуб', '#core', '#edit', '#fightclub']",LOSER,2026-03-20 07:20:36
https://www.tiktok.com/@theinfluencedmillennial/video/7556412485301996830,,Anorher day another trinket shelf (: #grandmacorethriftfinds ,329.0,17.0,6.0,,,· 2025-10-1,· 2025-10-1,,,False,True,True,True,False,False,,['#grandmacorethriftfinds'],TRINKET,2026-03-20 07:20:46
https://www.tiktok.com/@lifeslenses/video/7615384743122570526,,genuinely a 3 year old In a 23 year olds body and I couldn’t be happier. can’t stop won’t stop ! 🤹🏼🧮🛋️,366.0,29.0,17.0,,,· 3-9,· 3-9,original sound - 🕸️,,False,True,True,True,False,False,,[],TRINKET,2026-03-20 07:20:55
https://www.tiktok.com/@_puddinglover_/video/7571794079911021842,,"🍀
#juminocore🌱 #desksetup #roomtour #setup #popmart ",36900.0,347.0,2457.0,,,· 2025-11-12,· 2025-11-12,,,False,True,True,True,False,False,,"['#juminocore🌱', '#desksetup', '#roomtour', '#setup', '#popmart']",JUMINO,2026-03-20 07:21:05
https://www.tiktok.com/@.jinxrantsss/video/7512173397053377814,,🍡🍡🍡#juminocore #heseiretro #igari #juminocoresecretacc ,14100.0,199.0,1354.0,,,· 2025-6-4,· 2025-6-4,,,False,True,True,True,False,False,,"['#juminocore', '#heseiretro', '#igari', '#juminocoresecretacc']",JUMINO,2026-03-20 07:21:16
https://www.tiktok.com/@acervohoney/video/7593079098566626577,,"Mais um vídeo de pins 😬

#pins #pinscollection #trinkets ",87.0,34.0,14.0,,,· 1-8,· 1-8,,,False,True,True,True,True,False,,"['#pins', '#pinscollection', '#trinkets']",TRINKET,2026-03-20 07:21:25
https://www.tiktok.com/@yato.tensei/video/7612625873182739733,,чё со звуком #losercore #vibe #edit #rejiboy #core ,60.0,1.0,1.0,,,· 3-2,· 3-2,,,False,True,True,True,False,False,,"['#losercore', '#vibe', '#edit', '#rejiboy', '#core']",LOSER,2026-03-20 07:21:34
https://www.tiktok.com/@katieperry420/video/7412845741376376095,,i love my little trinket shelf #trinkets #trinketcollection,134.0,4.0,,,,· 2024-9-10,· 2024-9-10,original sound - Del,,False,True,True,True,False,False,,"['#trinkets', '#trinketcollection']",TRINKET,2026-03-20 07:21:44
https://www.tiktok.com/@tealuvr1/video/7416079733177322758,,#fyp #щитпост #howiwanttodress #juminocore #hippie ,27900.0,250.0,2381.0,,,· 2024-9-18,· 2024-9-18,,,False,True,True,True,True,False,,"['#fyp', '#щитпост', '#howiwanttodress', '#juminocore', '#hippie']",JUMINO,2026-03-20 07:21:51
https://www.tiktok.com/@bredi171/video/7615252714909355278,,loser core | 18:49 #грусть #бывшая #core #rek #война,61000.0,1185.0,69100.0,,,· 3-9,· 3-9,,,False,True,True,True,False,False,,"['#грусть', '#бывшая', '#core', '#rek', '#война']",LOSER,2026-03-20 07:21:59
https://www.tiktok.com/@bb.stardew/video/7614650766095076626,,#creatorsearchinsights #foyoupage #stardewvalley ,3613.0,47.0,252.0,,,· 3-7,· 3-7,âm thanh gốc - Lily,,False,True,True,True,True,False,,"['#creatorsearchinsights', '#foyoupage', '#stardewvalley']",JUMINO,2026-03-20 07:22:12
https://www.tiktok.com/@baby_jagget/video/7554928447974411527,,Soy el chico de las baratijas 🪤💙@ashnikko #fyp #ashnikko ,210.0,7.0,7.0,,,· 2025-9-27,· 2025-9-27,Trinkets - Ashnikko,,False,True,True,True,False,False,,"['#fyp', '#ashnikko']",TRINKET,2026-03-20 07:22:25
https://www.tiktok.com/@0fazrbro/video/7617094317135514898,,loser #loser #losercore #mecore #edit #smeshariki #смешарики ,69.0,4.0,2.0,,,· 5d ago,· 5d ago,,,False,True,True,True,True,False,,"['#loser', '#losercore', '#mecore', '#edit', '#smeshariki', '#смешарики']",LOSER,2026-03-20 07:22:35
